bone_morph,bone_name,locationX,locationY,locationZ,rotateX,rotateY,rotateZ,scaleX,scaleY,scaleZ
UP,j_f_mayu_l,-0.008,,,,,,,,
UP,j_f_mayu_r,-0.008,,,,,,,,
UP,j_f_miken_l,-0.005,,,,,,,,
UP,j_f_miken_r,-0.005,,,,,,,,
Down,j_f_mayu_l,0.003,0.002,,,,-2,,,
Down,j_f_mayu_r,0.003,0.002,,,,-2,,,
Down,j_f_miken_l,0.003,0.002,,,,-1,,,
Down,j_f_miken_r,0.003,0.002,,,,-1,,,
Trouble,j_f_miken_l,-0.01,,,,,-0.5,,,
Trouble,j_f_mayu_l,,,,,-37.2,,,,
Trouble,j_f_miken_r,-0.01,,,,,-0.5,,,
Trouble,j_f_mayu_r,,,,,37.2,,,,
Trouble,j_f_memoto,,,,,,5,,,
Serious,j_f_mayu_l,0.002,0,,,,,,,
Serious,j_f_mayu_r,0.002,0,,,,,,,
Serious,j_f_miken_l,0.002,0,,,,,,,
Serious,j_f_miken_r,0.002,0,,,,,,,
Smily,j_f_mayu_l,-0.013,,,,,,,,
Smily,j_f_mayu_r,-0.013,,,,,,,,
Smily,j_f_miken_l,-0.01,,,,,,,,
Smily,j_f_miken_r,-0.01,,,,,,,,
Wink,j_f_dmab_l,,,,,1,40,,,
Wink,j_f_umab_l,,,,,5,-32,,,
Wink,j_f_hoho_l,,,,,25,7,,,
Wink-a,j_f_dmab_r,,,,,-1,40,,,
Wink-a,j_f_umab_r,,,,,-5,-32,,,
Wink-a,j_f_hoho_r,,,,,-25,7,,,
Wink-b,j_f_dmab_l,,,,,1,40,,,
Wink-b,j_f_umab_l,,,,,5,-32,,,
Wink-b,j_f_hoho_l,,,,,25,7,,,
Wink-c,j_f_dmab_r,,,,,-1,40,,,
Wink-c,j_f_umab_r,,,,,-5,-32,,,
Wink-c,j_f_hoho_r,,,,,-25,7,,,
Blink,j_f_dmab_l,,,,,1,40,,,
Blink,j_f_umab_l,,,,,5,-32,,,
Blink,j_f_dmab_r,,,,,-1,40,,,
Blink,j_f_umab_r,,,,,-5,-32,,,
EyeSmile,j_f_umab_l,,,,,25,-5,,,
EyeSmile,j_f_dmab_l,-0.005,,,,-4,55,,,
EyeSmile,j_f_umab_r,,,,,-25,-5,,,
EyeSmile,j_f_dmab_r,-0.005,,,,4,55,,,
EyeSmile,j_f_hoho_l,,,,,25,7,,,
EyeSmile,j_f_hoho_r,,,,,-25,7,,,
Ha!!!,j_f_dmab_l,,,,-10,15,-15,,,
Ha!!!,j_f_dmab_r,,,,10,-15,-15,,,
Ha!!!,j_f_umab_l,,,,,5,12,,,
Ha!!!,j_f_umab_r,,,,,-5,12,,,
Jito-eye,j_f_dmab_l,,,,-10,15,-4,,,
Jito-eye,j_f_dmab_r,,,,10,-15,-4,,,
Jito-eye,j_f_umab_l,,,,,8,-25,,,
Jito-eye,j_f_umab_r,,,,,-8,-25,,,
Wail,j_f_dmab_l,,,,,8,,,,
Wail,j_f_dmab_r,,,,,-8,,,,
Wail,j_f_umab_l,,,,,-18,2,,,
Wail,j_f_umab_r,,,,,18,2,,,
Hostility,j_f_dmab_l,,,,,10,15,,,
Hostility,j_f_dmab_r,,,,,-10,15,,,
Hostility,j_f_umab_l,,,,,16,-8,,,
Hostility,j_f_umab_r,,,,,-16,-8,,,
a,j_ago,,,,,,-10,,,
a,j_f_lip_l,0.001,,,,,,,,
a,j_f_lip_r,0.001,,,,,,,,
a,j_f_ulip_a,,,,,,1,,,
a,j_f_ulip_b,,,,,,4,,,
a,j_f_dlip_a,,,,,,-1.5,,,
a,j_f_dlip_b,,,,,,10,,,
a,j_f_hoho_l,,,,,,-5,,,
a,j_f_hoho_r,,,,,,-5,,,
a 2,j_ago,,,,,,-15,,,
a 2,j_f_lip_l,0.005,,,,,,,,
a 2,j_f_lip_r,0.005,,,,,,,,
a 2,j_f_ulip_a,,,,,,1,,,
a 2,j_f_ulip_b,,,,,,4,,,
a 2,j_f_dlip_a,,,,,,-1.5,,,
a 2,j_f_dlip_b,,,,,,10,,,
a 2,j_f_hoho_l,,,,,,-5,,,
a 2,j_f_hoho_r,,,,,,-5,,,
e,j_ago,,0.001,,,,-2,,,
e,n_f_lip_l,-0.015,,,,,,,,
e,n_f_lip_r,-0.015,,,,,,,,
e,n_f_ulip_l,-0.016,,,,,,,,
e,n_f_ulip_r,-0.016,,,,,,,,
e,j_f_hoho_l,,,,5,30,,,,
e,j_f_hoho_r,,,,-5,-30,,,,
i,j_ago,,,,,,-2,,,
i,j_f_dlip_a,0.005,,,,,,,,
i,j_f_lip_l,-0.003,-0.003,0.001,,,,,,
i,j_f_lip_r,-0.003,-0.003,-0.001,,,,,,
i,j_f_ulip_a,-0.002,-0.002,,,,,,,
o,j_ago,,0.004,,,,-7.5,,,
o,n_f_lip_l,0.009,0.038,0.008,,,,,,
o,n_f_lip_r,0.009,0.038,-0.008,,,,,,
o,n_f_ulip_l,-0.003,0.002,0.007,,,,,,
o,n_f_ulip_r,-0.003,0.002,-0.007,,,,,,
u,j_ago,,0.004,,,,-7.5,,,
u,n_f_lip_l,0.009,0.038,0.008,,,,,,
u,n_f_lip_r,0.009,0.038,-0.008,,,,,,
u,n_f_ulip_l,-0.003,0.002,0.007,,,,,,
u,n_f_ulip_r,-0.003,0.002,-0.007,,,,,,
n,j_f_dlip_b,,,,,,5,,,
n,j_f_ulip_b,,,,,,-10,,,
n,j_f_lip_l,,,,,,-1,,,
n,j_f_lip_r,,,,,,-1,,,
n,j_f_hoho_l,,,,-5,,,,,
n,j_f_hoho_r,,,,5,,,,,
Mouse_1,j_ago,,,,,,-9.3,,,
Mouse_1,j_f_dlip_a,,,,,,-2.5,,,
Mouse_1,j_f_dlip_b,,,,,,15.3,,,
Mouse_1,j_f_lip_l,,,,-1,,-7,,,
Mouse_1,j_f_lip_r,,,,1,,-7,,,
Mouse_1,j_f_ulip_a,,,,,,3.6,,,
Mouse_1,j_f_ulip_b,,,,,,-10.4,,,
Mouse_2,j_f_dlip_b,,,,,,13,,,
Mouse_2,j_f_lip_l,,,,-1,,-6,,,
Mouse_2,j_f_lip_r,,,,1,,-6,,,
Mouse_2,j_f_ulip_a,,,,,,2.5,,,
Mouse_2,j_f_ulip_b,,,,,,-12,,,
Square,j_ago,,,,,,-10,,,
Square,j_f_lip_l,0.001,,,,,-1.5,,,
Square,j_f_lip_r,0.001,,,,,-1.5,,,
Square,j_f_ulip_a,,,,,,1,,,
Square,j_f_ulip_b,,,,,,4,,,
Square,j_f_dlip_a,,,,,,-1.5,,,
Square,j_f_dlip_b,,,,,,10,,,
Wa,j_ago,,,,,,-15.2,,,
Wa,j_f_dlip_a,,,,,,-0.7,,,
Wa,j_f_dlip_b,,,,,,6,,,
Wa,j_f_lip_l,0.005,,,-2,22.5,5,,,
Wa,j_f_lip_r,0.005,,,2,-22.5,5,,,
Wa,j_f_ulip_a,,,,,,2.4,,,
Wa,j_f_ulip_b,,,,,,-5.8,,,
Wa,j_f_hoho_l,,,,,,4,,,
Wa,j_f_hoho_r,,,,,,4,,,
Omega,j_f_dlip_b,,,,,,5,,,
Omega,j_f_ulip_b,,,,,,-11,,,
Omega,j_f_lip_l,,,,,,3,,,
Omega,j_f_lip_r,,,,,,3,,,
Niyari,j_f_dlip_b,,,,,,10,,,
Niyari,j_f_lip_l,,,,-2,10,2,,,
Niyari,j_f_lip_r,,,,2,10,2,,,
Niyari,j_f_dlip_b,,,,,,10,,,
Niyari,j_f_hoho_l,,,,,,4,,,
Niyari,j_f_hoho_r,,,,,,4,,,
Niyari2,j_f_lip_l,,,,-5,20,5,,,
Niyari2,j_f_lip_r,,,,-2,,2,,,
Niyari2,j_f_hoho_l,,,,,,4,,,
Smile,n_f_lip_l,-0.02,,,,,,,,
Smile,n_f_lip_r,-0.02,,,,,,,,
Smile,n_f_ulip_l,-0.01,,,,,,,,
Smile,n_f_ulip_r,-0.01,,,,,,,,
