mmd_english,mmd_english_alt, mmd_japanese, mmd_japaneseLR,ffxiv,yakuza,fortnite, xna_lara, daz_poser, blender_rigify, sims_2, motion_builder, 3ds_max, bepu,project_mirai,manuel_bastioni_lab,makehuman_mhx,sims_3,doa5lr,Bip_001,biped_3ds_max,biped_sfm,valvebiped,iClone7,autorig_pro,mixamo
thumb0_L,LeftThumb0, 左親指０, 親指０.L,,oya1_l_n,thumb_01_l, arm left finger 1a, lThumb1, thumb.01.L, l_thumb0, LeftHandThumb1, LeftFinger0, finger1-2.L,,thumb01_L,finger1-1.L,b__L_Thumb0__,OPT_Hand_*_Thumb1.1.L,Bip001 L Finger0,L Finger0,bip_thumb_0_L,ValveBiped.Bip01_L_Finger0,L_Thumb1,c_thumb1.l,mixamorig:LeftHandThumb1
thumb1_L,LeftThumb1, 左親指１, 親指１.L,j_oya_a_l,oya2_l_n,thumb_02_l, arm left finger 1b, lThumb2, thumb.02.L, l_thumb1, LeftHandThumb2, LeftFinger01, finger1-3.L,,thumb02_L,finger1-2.L,b__L_Thumb1__,OPT_Hand_*_Thumb2.1.L,Bip001 L Finger01,L Finger01,bip_thumb_1_L,ValveBiped.Bip01_L_Finger01,L_Thumb2,c_thumb2.l,mixamorig:LeftHandThumb2
thumb2_L,LeftThumb2, 左親指２, 親指２.L,j_oya_b_l,oya3_l_n,thumb_03_l, arm left finger 1c, lThumb3, thumb.03.L, l_thumb2, LeftHandThumb3, LeftFinger02, finger1-4.L,,thumb03_L,finger1-3.L,b__L_Thumb2__,OPT_Hand_*_Thumb3.1.L,Bip001 L Finger02,L Finger02,bip_thumb_2_L,ValveBiped.Bip01_L_Finger02,L_Thumb3,c_thumb3.l,mixamorig:LeftHandThumb3
fore1_L,LeftIndexFinger1, 左人指１, 人指１.L,j_hito_a_l,hito1_l_n,index_01_l, arm left finger 2a, lIndex1, f_index.01.L, l_index0, LeftHandIndex1, LeftFinger1, finger2-2.L,,index01_L,finger2-1.L,b__L_Index0__,OPT_Hand_*_Index1.1.L,Bip001 L Finger1,L Finger1,bip_index_0_L,ValveBiped.Bip01_L_Finger1,L_Index1,c_index1.l,mixamorig:LeftHandIndex1
fore2_L,LeftIndexFinger2, 左人指２, 人指２.L,j_hito_b_l,hito2_l_n,index_02_l, arm left finger 2b, lIndex2, f_index.02.L, l_index1, LeftHandIndex2, LeftFinger11, finger2-3.L,,index02_L,finger2-2.L,b__L_Index1__,OPT_Hand_*_Index2.1.L,Bip001 L Finger11,L Finger11,bip_index_1_L,ValveBiped.Bip01_L_Finger11,L_Index2,c_index2.l,mixamorig:LeftHandIndex2
fore3_L,LeftIndexFinger3, 左人指３, 人指３.L,,hito3_l_n,index_03_l, arm left finger 2c, lIndex3, f_index.03.L, l_index2, LeftHandIndex3, LeftFinger12, finger2-4.L,,index03_L,finger2-3.L,b__L_Index2__,OPT_Hand_*_Index3.1.L,Bip001 L Finger12,L Finger12,bip_index_2_L,ValveBiped.Bip01_L_Finger12,L_Index3,c_index3.l,mixamorig:LeftHandIndex3
middle1_L,LeftMiddleFinger1, 左中指１, 中指１.L,j_naka_a_l,naka1_l_n,middle_01_l, arm left finger 3a, lMid1, f_middle.01.L, l_mid0, LeftHandMiddle1, LeftFinger2, finger3-2.L,,middle01_L,finger3-1.L,b__L_Mid0__,OPT_Hand_*_Middle1.1.L,Bip001 L Finger2,L Finger2,bip_middle_0_L,ValveBiped.Bip01_L_Finger2,L_Mid1,c_middle1.l,mixamorig:LeftHandMiddle1
middle2_L,LeftMiddleFinger2, 左中指２, 中指２.L,j_naka_b_l,naka2_l_n,middle_02_l, arm left finger 3b, lMid2, f_middle.02.L, l_mid1, LeftHandMiddle2, LeftFinger21, finger3-3.L,,middle02_L,finger3-2.L,b__L_Mid1__,OPT_Hand_*_Middle2.1.L,Bip001 L Finger21,L Finger21,bip_middle_1_L,ValveBiped.Bip01_L_Finger21,L_Mid2,c_middle2.l,mixamorig:LeftHandMiddle2
middle3_L,LeftMiddleFinger3, 左中指３, 中指３.L,,naka3_l_n,middle_03_l, arm left finger 3c, lMid3, f_middle.03.L, l_mid2, LeftHandMiddle3, LeftFinger22, finger3-4.L,,middle03_L,finger3-3.L,b__L_Mid2__,OPT_Hand_*_Middle3.1.L,Bip001 L Finger22,L Finger22,bip_middle_2_L,ValveBiped.Bip01_L_Finger22,L_Mid3,c_middle3.l,mixamorig:LeftHandMiddle3
third1_L,LeftRingFinger1, 左薬指１, 薬指１.L,j_kusu_a_l,kusu1_l_n,ring_01_l, arm left finger 4a, lRing1, f_ring.01.L, l_ring0, LeftHandRing1, LeftFinger3, finger4-2.L,,ring01_L,finger4-1.L,b__L_Pinky0__,OPT_Hand_*_Ring1.1.L,Bip001 L Finger3,L Finger3,bip_ring_0_L,ValveBiped.Bip01_L_Finger3,L_Ring1,c_ring1.l,mixamorig:LeftHandRing1
