joint_name,rigid_body_1,rigid_body_2,move_to_rigid_bone_tail,use_bone_rotation,linear_min_x,linear_min_y,linear_min_z,linear_max_x,linear_max_y,linear_max_z,angular_min_x,angular_min_y,angular_min_z,angular_max_x,angular_max_y,angular_max_z,linear_spring_x,linear_spring_y,linear_spring_z,angular_spring_x,angular_spring_y,angular_spring_z
J.v_upper body 2b-breast_L,upper body 2b,breast_L,,1,,,,,,,-0.01,-1,-5,0.01,5,5,,,,,,
J.v_upper body 2b-breast_R,upper body 2b,breast_R,,1,,,,,,,-0.01,-1,-5,0.01,5,5,,,,,,
J.v_head-j_kami_a,head,j_kami_a,,1,,,,,,,-5,-5,-5,5,5,5,,,,,,
J.v_j_kami_a-j_kami_b,j_kami_a,j_kami_b,,1,,,,,,,-5,-5,-5,5,5,5,,,,,,
J.v_head-j_kami_f_l,head,j_kami_f_l,,1,,,,,,,-5,-5,-5,5,5,5,,,,,,
J.v_head-j_kami_f_r,head,j_kami_f_r,,1,,,,,,,-5,-5,-5,5,5,5,,,,,,
J.v_head-j_ex_h0106_ke_f_a,head,j_ex_h0106_ke_f_a,,1,,,,,,,-5,-5,-5,5,5,5,,,,,,
J.v_j_ex_h0106_ke_f_a-j_ex_h0106_ke_f_b,j_ex_h0106_ke_f_a,j_ex_h0106_ke_f_b,,1,,,,,,,-5,-5,-5,5,5,5,,,,,,
J.v_lower body-n_sippo_a,lower body,n_sippo_a,,1,,,,,,,-5,-5,-5,5,5,5,,,,,,
J.v_n_sippo_a-n_sippo_b,n_sippo_a,n_sippo_b,,1,,,,,,,-15,-15,-15,15,15,15,,,,,,
J.v_n_sippo_b-n_sippo_c,n_sippo_b,n_sippo_c,,1,,,,,,,-15,-15,-15,15,15,15,,,,,,
J.v_n_sippo_c-n_sippo_d,n_sippo_c,n_sippo_d,,1,,,,,,,-15,-15,-15,15,15,15,,,,,,
J.v_n_sippo_d-n_sippo_e,n_sippo_d,n_sippo_e,,1,,,,,,,-15,-15,-15,15,15,15,,,,,,
J.v_lower body-j_sk_b_a_l,lower body,j_sk_b_a_l,,1,,,,,,,,,,,,,,,,,,
J.v_lower body-j_sk_b_a_r,lower body,j_sk_b_a_r,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_b_a_l-j_sk_b_b_l,j_sk_b_a_l,j_sk_b_b_l,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_b_a_r-j_sk_b_b_r,j_sk_b_a_r,j_sk_b_b_r,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_b_b_l-j_sk_b_c_l,j_sk_b_b_l,j_sk_b_c_l,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_b_b_r-j_sk_b_c_r,j_sk_b_b_r,j_sk_b_c_r,,1,,,,,,,,,,,,,,,,,,
J.v_lower body-j_sk_f_a_l,lower body,j_sk_f_a_l,,1,,,,,,,,,,,,,,,,,,
J.v_lower body-j_sk_f_a_r,lower body,j_sk_f_a_r,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_f_a_l-j_sk_f_b_l,j_sk_f_a_l,j_sk_f_b_l,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_f_a_r-j_sk_f_b_r,j_sk_f_a_r,j_sk_f_b_r,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_f_b_l-j_sk_f_c_l,j_sk_f_b_l,j_sk_f_c_l,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_f_b_r-j_sk_f_c_r,j_sk_f_b_r,j_sk_f_c_r,,1,,,,,,,,,,,,,,,,,,
J.v_lower body-j_sk_s_a_l,lower body,j_sk_s_a_l,,1,,,,,,,,,,,,,,,,,,
J.v_lower body-j_sk_s_a_r,lower body,j_sk_s_a_r,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_s_a_l-j_sk_s_b_l,j_sk_s_a_l,j_sk_s_b_l,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_s_a_r-j_sk_s_b_r,j_sk_s_a_r,j_sk_s_b_r,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_b_b_l-j_sk_s_c_l,j_sk_b_b_l,j_sk_s_c_l,,1,,,,,,,,,,,,,,,,,,
J.v_j_sk_b_b_r-j_sk_s_c_r,j_sk_b_b_r,j_sk_s_c_r,,1,,,,,,,,,,,,,,,,,,
J.h_j_sk_b_a_r-j_sk_b_a_l,j_sk_b_a_r,j_sk_b_a_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_s_a_r-j_sk_b_a_r,j_sk_s_a_r,j_sk_b_a_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_f_a_r-j_sk_s_a_r,j_sk_f_a_r,j_sk_s_a_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_f_a_l-j_sk_f_a_r,j_sk_f_a_l,j_sk_f_a_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_s_a_l-j_sk_f_a_l,j_sk_s_a_l,j_sk_f_a_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_b_a_l-j_sk_s_a_l,j_sk_b_a_l,j_sk_s_a_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_b_b_r-j_sk_b_b_l,j_sk_b_b_r,j_sk_b_b_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_s_b_r-j_sk_b_b_r,j_sk_s_b_r,j_sk_b_b_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_f_b_r-j_sk_s_b_r,j_sk_f_b_r,j_sk_s_b_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_f_b_l-j_sk_f_b_r,j_sk_f_b_l,j_sk_f_b_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_s_b_l-j_sk_f_b_l,j_sk_s_b_l,j_sk_f_b_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_b_b_l-j_sk_s_b_l,j_sk_b_b_l,j_sk_s_b_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_b_c_r-j_sk_b_c_l,j_sk_b_c_r,j_sk_b_c_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_s_c_r-j_sk_b_c_r,j_sk_s_c_r,j_sk_b_c_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_f_c_r-j_sk_s_c_r,j_sk_f_c_r,j_sk_s_c_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_f_c_l-j_sk_f_c_r,j_sk_f_c_l,j_sk_f_c_r,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_s_c_l-j_sk_f_c_l,j_sk_s_c_l,j_sk_f_c_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.h_j_sk_b_c_l-j_sk_s_c_l,j_sk_b_c_l,j_sk_s_c_l,,0,,,,,,,-0.0531,0.0531,,,,,,,,,,
J.j_mune_core-breast_L_top,j_mune_core,breast_L_top,,0,,,,,,,-3,-5,-10,30,5,10,,,,100,100,80
J.j_mune_core-breast_R_top,j_mune_core,breast_R_top,,0,,,,,,,-3,-5,-10,30,5,10,,,,100,100,80
J.j_mune_core-breast_L_bot,j_mune_core,breast_L_bot,,0,,,,,,,-3,-5,-10,30,5,10,,,,100,100,80
J.j_mune_core-breast_R_bot,j_mune_core,breast_R_bot,,0,,,,,,,-3,-5,-10,30,5,10,,,,100,100,80
J.breast_L_top-breast_L_mid,breast_L_top,breast_L_mid,1,0,,,,,,,-25,,,25,,,,100,,100,100,80
J.breast_R_top-breast_R_mid,breast_R_top,breast_R_mid,1,0,,,,,,,-25,,,25,,,,100,,100,100,80
J.breast_L_mid-breast_L_bot,breast_L_mid,breast_L_bot,1,0,,,,,,,-30,,,30,,,100,100,,20,,
J.breast_R_mid-breast_R_bot,breast_R_mid,breast_R_bot,1,0,,,,,,,-30,,,30,,,100,100,,20,,
