id,mmd_english,mmd_japanese,mmd_japaneseLR,blender_rigify,ffxiv,description,required,PMXE_order,parent,controller,rotate,move,invisible,physics,bone_category,group_eng,group_jap,cancel,cancel_parent,IK_target,IK_children,IK_child_limit_min,IK_child_limit_max,add_to_rig
4,center, センター, センター, spine,center,center,y,1,0,,y,y,,,motherbone,センター,Center,,,,,,,Y
5,groove, グルーブ, グルーブ,,groove,groove,,2,1,,y,,,,motherbone,センター,Center,,,,,,,Y
60,head jaw,head jaw,head jaw,,j_ago,head jaw,,73,22,,y,y,,,head,,,,,,,,,
11,leg_L, 左足, 足.L, thigh.L,j_asi_a_l,leg_L,y,8,7,,y,,,,legs,足,Legs,,,,,,,
19,leg_R, 右足, 足.R, thigh.R,j_asi_a_r,leg_R,y,15,14,,y,,,,legs,足,Legs,,,,,,,
12,knee_L, 左ひざ, ひざ.L, shin.L,j_asi_b_l,knee_L_a,y,9,8,,y,,,,legs,足,Legs,,,,,,,
20,knee_R, 右ひざ, ひざ.R, shin.R,j_asi_b_r,knee_R_a,y,16,15,,y,,,,legs,足,Legs,,,,,,,
13,j_asi_c_l,,,,j_asi_c_l,knee_L_b,,,,,y,,,,legs,足,Legs,,,,,,,
21,j_asi_c_r,,,,j_asi_c_r,knee_R_b,,,,,y,,,,legs,足,Legs,,,,,,,
14,ankle_L, 左足首, 足首.L, foot.L,j_asi_d_l,ankle_L,y,10,9,,y,,,,legs,足,Legs,,,,,,,
22,ankle_R, 右足首, 足首.R, foot.R,j_asi_d_r,ankle_R,y,17,16,,y,,,,legs,足,Legs,,,,,,,
15,toe_L, 左つま先, つま先.L, toe.L,j_asi_e_l,toe_L,y,11,10,,y,,,,legs,足,Legs,,,,,,,
23,toe_R, 右つま先, つま先.R, toe.R,j_asi_e_r,toe_R,y,18,17,,y,,,,legs,足,Legs,,,,,,,
175,armor_waist_1_l,,,,j_buki_kosi_l,armor_waist_1_l,,,,,y,y,,,armor,,,,,,,,,
176,armor_waist_1_r,,,,j_buki_kosi_r,armor_waist_1_r,,,,,y,y,,,armor,,,,,,,,,
149,armor_cape_L,armor_shoulderpad_L,armor_shoulderpad_L,,j_buki_sebo_l,armor_cape_L,,,,,y,,,,armor,,,,,,,,,
150,armor_cape_R,armor_shoulderpad_R,armor_shoulderpad_R,,j_buki_sebo_r,armor_cape_R,,,,,y,,,,armor,,,,,,,,,
177,armor_waist_2_l,,,,j_buki2_kosi_l,armor_waist_2_l,,,,,y,y,,,armor,,,,,,,,,
178,armor_waist_2_r,,,,j_buki2_kosi_r,armor_waist_2_r,,,,,y,y,,,armor,,,,,,,,,
63,j_ex_h0005_ke_b,j_ex_h0005_ke_b,_ex_h0005_ke_b.J,,j_ex_h0005_ke_b,hair_back_B,,76,22,,y,,,y,hair,,,,,,,,,
64,j_ex_h0005_ke_f,j_ex_h0005_ke_f,_ex_h0005_ke_f.J,,j_ex_h0005_ke_f,hair_back_A,,77,22,,y,,,y,hair,,,,,,,,,
146,hair_side_L,,,,j_ex_h0106_ke_l,hair_side_L,,,,,y,y,,y,hair,髪,Hair,,,,,,,
