bone_morph,bone_name,locationX,locationY,locationZ,rotateX,rotateY,rotateZ,scaleX,scaleY,scaleZ
UP,j_f_mayu_l ,-0.008,,,,,,,,
UP,j_f_mayu_r ,-0.008,,,,,,,,
UP,j_f_miken_l ,-0.005,,,,,,,,
UP,j_f_miken_r ,-0.005,,,,,,,,
Down,j_f_mayu_l ,0.007,0.002,,,,,,,
Down,j_f_mayu_r ,0.007,0.002,,,,,,,
Down,j_f_miken_l ,0.007,0.002,,,,,,,
Down,j_f_miken_r ,0.007,0.002,,,,,,,
Trouble,j_f_miken_l,-0.01,,,,,-0.5,,,
Trouble,j_f_mayu_l,0.005,,,,-37.2,,,,
Trouble,j_f_miken_r,-0.01,,,,,-0.5,,,
Trouble,j_f_mayu_r,0.005,,,,37.2,,,,
Trouble,j_f_memoto,,,,,,5,,,
Serious,j_f_mayu_l ,0.002,0,,,,,,,
Serious,j_f_mayu_r ,0.002,0,,,,,,,
Serious,j_f_miken_l ,0.002,0,,,,,,,
Serious,j_f_miken_r ,0.002,0,,,,,,,
Wink,j_f_dmab_l ,,,,,1,8.2,,,
Wink,j_f_umab_l ,,,,,5,-22,,,
Wink-a,j_f_dmab_r ,,,,,-1,8.2,,,
Wink-a,j_f_umab_r ,,,,,-5,-22,,,
Wink-b,j_f_dmab_l ,,,,,1,8.2,,,
Wink-b,j_f_umab_l ,,,,,5,-22,,,
Wink-c,j_f_dmab_r ,,,,,-1,8.2,,,
Wink-c,j_f_umab_r ,,,,,-5,-22,,,
Blink,j_f_dmab_l ,,,,,1,8.2,,,
Blink,j_f_umab_l ,,,,,5,-22,,,
Blink,j_f_dmab_r ,,,,,-1,8.2,,,
Blink,j_f_umab_r ,,,,,-5,-22,,,
Smile,j_f_umab_l ,,,,,11,,,,
Smile,j_f_dmab_l ,,,,,-4,32,,,
Smile,j_f_umab_r ,,,,,-11,,,,
Smile,j_f_dmab_r ,,,,,4,32,,,
Ha!!!,j_f_umab_l ,,,,,5.6,17,,,
Ha!!!,j_f_dmab_l,,,,,11,-1.1,,,
Ha!!!,j_f_umab_r,,,,,-5.6,17,,,
Ha!!!,j_f_dmab_r ,,,,,-11,-1.1,,,
EyeSmall,j_f_eye_l,,,,,,,-0.5,,-0.5
EyeSmall,j_f_eye_r,,,,,,,-0.5,,-0.5
a,j_ago ,,,,,,-10,,,
a,j_f_lip_l ,0.001,,,,,,,,
a,j_f_lip_r ,0.001,,,,,,,,
a,j_f_ulip_a ,,,,,,1,,,
a,j_f_ulip_b,,,,,,4,,,
a,j_f_dlip_a ,,,,,,-1.5,,,
a,j_f_dlip_b,,,,,,10,,,
a 2,j_ago ,,,,,,-15,,,
a 2,j_f_lip_l ,0.005,,,,,,,,
a 2,j_f_lip_r ,0.005,,,,,,,,
a 2,j_f_ulip_a ,,,,,,1,,,
a 2,j_f_ulip_b,,,,,,4,,,
a 2,j_f_dlip_a ,,,,,,-1.5,,,
a 2,j_f_dlip_b,,,,,,10,,,
e,j_ago ,,,,,,-2,,,
e,j_f_dlip_a ,0.002,0.004,,,,,,,
e,j_f_lip_l ,-0.002,-0.002,-0.004,,,,,,
e,j_f_lip_r ,-0.002,-0.002,0.004,,,,,,
e,j_f_ulip_a ,,,,,,-0.7,,,
i,j_ago,,,,,,-2,,,
i,j_f_dlip_a ,0.005,,,,,,,,
i,j_f_lip_l ,-0.003,-0.003,0.001,,,,,,
i,j_f_lip_r ,-0.003,-0.003,-0.001,,,,,,
i,j_f_ulip_a ,-0.002,-0.002,,,,,,,
o,j_ago,,,,,,-7,,,
o,j_f_dlip_a ,0.001,0,,,,,,,
o,j_f_lip_l ,0.003,0.003,,10,,-2,,,
o,j_f_lip_r ,0.003,0.003,,-10,,-2,,,
o,j_f_ulip_a ,,,,,,-0.5,,,
u,j_ago,,,,,,-5,,,
u,j_f_lip_l ,0.003,,,,,3,,,
u,j_f_lip_r ,0.003,,,,,3,,,
